Date	Appl	AMD
2019/1/23	1.81E-02	19.799999
2019/1/24	1.51E-02	20.85
2019/1/25	3.13E-02	21.93
2019/1/28	2.55E-02	20.18
2019/1/29	2.02E-02	19.25
2019/1/30	8.34E-02	23.09
2019/1/31	9.65E-02	24.41
2019/2/1	9.74E-02	24.51
2019/2/4	1.69E-01	24.129999
2019/2/5	2.32E-01	23.309999
2019/2/6	2.34E-01	23.26
2019/2/7	1.63E-01	22.67
2019/2/8	1.54E-01	23.049999
2019/2/11	1.37E-01	22.959999
2019/2/12	1.62E-01	22.82
2019/2/13	1.50E-01	22.85
2019/2/14	1.60E-01	23.129999
2019/2/15	1.54E-01	23.68
2019/2/19	1.63E-01	23.950001
2019/2/20	1.84E-01	23.950001
2019/2/21	1.65E-01	23.92
2019/2/22	2.04E-01	24.360001
2019/2/25	2.33E-01	24.709999
2019/2/26	2.36E-01	24.209999
2019/2/27	2.50E-01	23.48
2019/2/28	2.08E-01	23.530001
2019/3/1	2.52E-01	23.68
2019/3/4	2.76E-01	23.370001
2019/3/5	2.67E-01	23.5
2019/3/6	2.41E-01	22.41
2019/3/7	1.94E-01	22.08
2019/3/8	2.03E-01	22.01
2019/3/11	3.75E-01	22.959999
2019/3/12	4.54E-01	23.49
2019/3/13	4.89E-01	23.379999
2019/3/14	5.87E-01	22.82
2019/3/15	7.22E-01	23.290001
2019/3/18	8.45E-01	23.25
2019/3/19	7.47E-01	26
2019/3/20	8.54E-01	25.700001
2019/3/21	1.44E+00	27.889999
2019/3/22	1.07E+00	26.370001
2019/3/25	8.95E-01	25.969999
2019/3/26	7.63E-01	25.690001
2019/3/27	8.76E-01	24.889999
2019/3/28	8.94E-01	25.059999
2019/3/29	9.85E-01	25.52
2019/4/1	1.09E+00	26.360001
2019/4/2	1.34E+00	26.75
2019/4/3	1.47E+00	29.02
2019/4/4	1.50E+00	29.09
2019/4/5	1.64E+00	28.98
2019/4/8	2.01E+00	28.530001
2019/4/9	1.93E+00	27.24
2019/4/10	2.07E+00	27.83
2019/4/11	1.87E+00	27.790001
2019/4/12	1.86E+00	27.85
2019/4/15	1.90E+00	27.33
2019/4/16	1.90E+00	27.93
2019/4/17	2.41E+00	27.49
2019/4/18	2.51E+00	27.68
2019/4/22	2.61E+00	28.18
2019/4/23	3.07E+00	27.969999
2019/4/24	3.02E+00	28.459999
2019/4/25	2.72E+00	27.66
2019/4/26	2.58E+00	27.879999
2019/4/29	2.62E+00	27.690001
2019/4/30	2.08E+00	27.629999
2019/5/1	3.58E+00	26.809999
2019/5/2	3.34E+00	28.290001
2019/5/3	3.80E+00	28.219999
2019/5/6	3.23E+00	27.42
2019/5/7	2.37E+00	26.66
2019/5/8	2.38E+00	27.09
2019/5/9	2.09E+00	27.209999
2019/5/10	1.66E+00	27.959999
2019/5/13	6.98E-01	26.24
2019/5/14	8.90E-01	27.32
2019/5/15	1.06E+00	27.58
2019/5/16	9.95E-01	28.01
2019/5/17	9.14E-01	27.5
2019/5/20	5.54E-01	26.68
2019/5/21	7.51E-01	27.35
2019/5/22	5.39E-01	27.41
2019/5/23	4.03E-01	26.360001
2019/5/24	3.77E-01	26.440001
2019/5/28	3.51E-01	29.049999
2019/5/29	3.23E-01	28.09
2019/5/30	3.53E-01	28.030001
2019/5/31	2.55E-01	27.41
2019/6/3	2.11E-01	27.58
2019/6/4	4.02E-01	29.57
2019/6/5	5.27E-01	29.5
2019/6/6	6.68E-01	31.82
2019/6/7	1.00E+00	32.41
2019/6/10	1.20E+00	33.23
2019/6/11	1.41E+00	32.41
2019/6/12	1.35E+00	32.18
2019/6/13	1.35E+00	31.389999
2019/6/14	1.22E+00	30.360001
2019/6/17	1.32E+00	29.200001
2019/6/18	1.81E+00	30.450001
2019/6/19	1.74E+00	30.5
2019/6/20	1.93E+00	30.01
2019/6/21	1.85E+00	29.1
2019/6/24	1.82E+00	29.26
2019/6/25	1.49E+00	28.860001
2019/6/26	1.97E+00	29.92
2019/6/27	1.96E+00	30.74
2019/6/28	1.75E+00	30.370001
2019/7/1	2.19E+00	31.200001
2019/7/2	2.35E+00	31.24
2019/7/3	2.59E+00	31.190001
2019/7/5	2.57E+00	31.5
